0) 0.909091; -0.126105
0.922509; -0.045824
0.99631; -0.0952927
0.981818; -0.161069
0) -0.909091; -0.126105
-0.922509; -0.045824
-0.848709; 0.00679419
-0.836364; -0.0869129
0) 0.836364; -0.0869129
0.848709; 0.00679419
0.922509; -0.045824
0.909091; -0.126105
0) -0.836364; -0.0869129
-0.848709; 0.00679419
-0.774908; 0.0608016
-0.763636; -0.0451574
0) 0.763636; -0.0451574
0.774908; 0.0608016
0.848709; 0.00679419
0.836364; -0.0869129
0) 0.690909; -0.00239956
0.701107; 0.114606
0.774908; 0.0608016
0.763636; -0.0451574
0) -0.763636; -0.0451574
-0.774908; 0.0608016
-0.701107; 0.114606
-0.690909; -0.00239956
0) 0.618182; 0.0399404
0.627306; 0.166797
0.701107; 0.114606
0.690909; -0.00239956
0) -0.690909; -0.00239956
-0.701107; 0.114606
-0.627306; 0.166797
-0.618182; 0.0399404
0) -0.618182; 0.0399404
-0.627306; 0.166797
-0.553506; 0.216148
-0.545455; 0.0806004
0) 0.545455; 0.0806004
0.553506; 0.216148
0.627306; 0.166797
0.618182; 0.0399404
0) -0.545455; 0.0806004
-0.553506; 0.216148
-0.479705; 0.261599
-0.472727; 0.118481
0) 0.472727; 0.118481
0.479705; 0.261599
0.553506; 0.216148
0.545455; 0.0806004
0) 0.4; 0.15264
0.405904; 0.302242
0.479705; 0.261599
0.472727; 0.118481
0) -0.472727; 0.118481
-0.479705; 0.261599
-0.405904; 0.302242
-0.4; 0.15264
0) 0.327273; 0.182288
0.332103; 0.33731
0.405904; 0.302242
0.4; 0.15264
0) -0.4; 0.15264
-0.405904; 0.302242
-0.332103; 0.33731
-0.327273; 0.182288
0) 0.254545; 0.206776
0.258303; 0.366157
0.332103; 0.33731
0.327273; 0.182288
0) -0.327273; 0.182288
-0.332103; 0.33731
-0.258303; 0.366157
-0.254545; 0.206776
0) 0.181818; 0.225588
0.184502; 0.388262
0.258303; 0.366157
0.254545; 0.206776
0) -0.254545; 0.206776
-0.258303; 0.366157
-0.184502; 0.388262
-0.181818; 0.225588
0) -0.181818; 0.225588
-0.184502; 0.388262
-0.110701; 0.403225
-0.109091; 0.238343
0) 0.109091; 0.238343
0.110701; 0.403225
0.184502; 0.388262
0.181818; 0.225588
0) -0.109091; 0.238343
-0.110701; 0.403225
-0.0369004; 0.410776
-0.0363636; 0.244784
0) 0.0363636; 0.244784
0.0369004; 0.410776
0.110701; 0.403225
0.109091; 0.238343
0) -0.0363636; 0.244784
-0.0369004; 0.410776
0.0369004; 0.410776
0.0363636; 0.244784
0) 0.922509; -0.045824
0.93633; 0.0411371
1.01124; -0.0206482
0.99631; -0.0952927
0) 0.848709; 0.00679419
0.861423; 0.105041
0.93633; 0.0411371
0.922509; -0.045824
0) -0.922509; -0.045824
-0.93633; 0.0411371
-0.861423; 0.105041
-0.848709; 0.00679419
0) 0.774908; 0.0608016
0.786517; 0.169296
0.861423; 0.105041
0.848709; 0.00679419
